epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,1.936784,1.844119,0.381756,1.935763,1.925305,1.637303,0.471022,1.923991,1.996297,1.7231,0.45412,1.994907,0.902584,1.104805
2,1.676529,1.45861,0.613223,1.675473,1.894843,1.553141,0.524006,1.893503,1.980279,1.63515,0.508423,1.978849,0.68518,0.914262
3,1.568452,1.346642,0.670325,1.567385,1.710131,1.384659,0.621675,1.708797,1.859484,1.562528,0.551119,1.85791,0.898296,0.965633
4,1.503288,1.284906,0.699859,1.502237,1.745565,1.39911,0.613737,1.744266,1.770159,1.453881,0.611372,1.768785,0.921016,1.300006
5,1.442933,1.241584,0.719757,1.441961,1.844683,1.429561,0.59674,1.843323,2.006135,1.528764,0.570308,2.004531,0.557437,0.640078
6,1.414053,1.209644,0.73399,1.413085,1.801396,1.419107,0.602617,1.799913,1.823145,1.444579,0.616329,1.821591,0.622659,0.711878
7,1.378725,1.175456,0.748814,1.377724,1.810619,1.37263,0.628219,1.809212,1.776777,1.426204,0.626028,1.775334,0.525153,0.754473
8,1.344054,1.157634,0.756373,1.343065,1.776532,1.424503,0.599589,1.775186,1.718079,1.399124,0.640094,1.716747,0.770311,1.074656
9,1.311894,1.131766,0.76714,1.310925,1.69003,1.319797,0.656289,1.688359,1.746345,1.421837,0.628314,1.744553,0.962731,0.814693
10,1.295278,1.115696,0.773705,1.294235,1.66843,1.273141,0.68016,1.667067,1.716985,1.373131,0.653343,1.715542,0.682866,0.790661
11,1.260587,1.08715,0.785137,1.259668,1.698527,1.285458,0.673941,1.697122,1.687664,1.334972,0.672342,1.686256,0.584237,0.695941
12,1.253477,1.07148,0.791287,1.252542,1.7079,1.295993,0.668575,1.706253,1.706176,1.337448,0.671126,1.704552,0.637082,0.568158
13,1.235216,1.068534,0.792433,1.234279,1.858595,1.412761,0.606163,1.857021,1.809494,1.417842,0.6304,1.80795,0.534297,0.513141
14,1.190989,1.046713,0.800824,1.190126,1.920473,1.43547,0.5934,1.919064,1.891108,1.464319,0.605772,1.889763,0.47457,0.68349
15,1.188531,1.043977,0.801864,1.187649,1.748474,1.359464,0.635317,1.747154,1.724457,1.38154,0.649084,1.723169,0.663677,0.80835
16,1.156118,1.031391,0.806612,1.155247,1.595865,1.222143,0.70527,1.594375,1.69785,1.34868,0.665579,1.696219,0.695918,0.590035
17,1.193142,1.025982,0.808635,1.192199,1.734298,1.323231,0.654498,1.732871,1.757218,1.394641,0.642397,1.755789,0.598311,0.773616
18,1.13064,1.006442,0.815855,1.129718,1.919256,1.288739,0.672275,1.917351,1.852092,1.324919,0.677259,1.850273,0.430153,0.263137
19,1.115354,0.997743,0.819024,1.114436,1.829413,1.307258,0.662789,1.827792,1.789025,1.348508,0.665664,1.787472,0.552688,0.549136
20,1.116587,0.990477,0.821651,1.115689,1.627158,1.212977,0.709675,1.625737,1.705187,1.354102,0.662884,1.703709,0.611491,0.690133
21,1.077762,0.972054,0.828224,1.076886,1.679775,1.217768,0.707377,1.678172,1.776366,1.328796,0.675367,1.774698,0.563247,0.398146
22,1.070708,0.963258,0.831319,1.069817,1.640363,1.219849,0.706376,1.638887,1.707295,1.311234,0.683891,1.705767,0.511059,0.621808
23,1.060172,0.969908,0.828981,1.059262,1.780365,1.275205,0.679122,1.778825,1.770883,1.332696,0.673459,1.769363,0.545588,0.536923
24,1.052813,0.95271,0.834992,1.051887,1.757984,1.248405,0.692468,1.756327,1.800085,1.381008,0.649354,1.79838,0.549782,0.770986
25,1.026121,0.94091,0.839055,1.025222,1.728121,1.285951,0.673692,1.726311,1.754289,1.337057,0.671318,1.752489,0.61776,0.542361
26,1.029619,0.941361,0.8389,1.028672,1.712496,1.282665,0.675357,1.711011,1.725677,1.321982,0.678688,1.724224,0.585875,0.952802
27,1.019796,0.93272,0.841844,1.018857,1.789634,1.204276,0.713825,1.787867,1.954887,1.366689,0.656588,1.952948,0.484402,0.37382
28,0.984827,0.922457,0.845306,0.983906,1.816674,1.240506,0.696347,1.814837,1.918059,1.346471,0.666673,1.916156,0.408812,0.379303
29,0.965189,0.91439,0.847999,0.964289,1.83835,1.225233,0.703778,1.836569,1.90806,1.315147,0.682002,1.906261,0.360522,0.427004
30,0.96973,0.912435,0.848649,0.968822,1.633112,1.202493,0.714672,1.631609,1.688013,1.296001,0.691193,1.686477,0.55509,0.859184
31,0.94157,0.901728,0.85218,0.940661,1.901122,1.291388,0.670926,1.89926,1.926413,1.332233,0.673685,1.924554,0.450348,0.378242
32,0.931339,0.905486,0.850945,0.930436,1.855679,1.216072,0.708191,1.853816,1.946416,1.340137,0.669802,1.94449,0.413391,0.561179
33,0.93794,0.897823,0.853457,0.936991,2.125525,1.317349,0.657563,2.123579,2.086669,1.358564,0.660659,2.0848,0.36212,0.38929
34,0.898301,0.881494,0.858739,0.89738,1.829718,1.26402,0.684726,1.827814,1.883133,1.34322,0.668281,1.88122,0.418725,0.51573
