epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,2.348644,2.488241,-0.16738,2.347565,2.091125,1.988516,0.199138,2.090164,2.247974,2.246621,0.161629,2.246876,1.678726,3.752485
2,1.845468,1.689551,0.461767,1.844567,2.04025,1.803385,0.341317,2.039151,2.148873,1.939404,0.37524,2.147676,0.758945,1.715115
3,1.658377,1.446174,0.605662,1.657508,1.876104,1.566108,0.503244,1.875038,2.009557,1.707562,0.515683,2.008376,0.522575,1.167318
4,1.528121,1.300061,0.68132,1.527304,1.725589,1.396595,0.60496,1.724643,1.804947,1.460699,0.645596,1.803945,0.528558,1.287252
5,1.433187,1.217767,0.720388,1.432423,1.676231,1.332279,0.640507,1.675388,1.702208,1.343192,0.700323,1.701346,0.510129,1.217467
6,1.382969,1.15912,0.746671,1.382265,1.613175,1.257468,0.679746,1.612355,1.665987,1.293532,0.722073,1.665116,0.454864,0.862996
7,1.33414,1.126323,0.760804,1.333464,1.603631,1.240335,0.688414,1.602906,1.638639,1.260732,0.735989,1.63788,0.565704,1.32994
8,1.304203,1.104344,0.770048,1.303563,1.553933,1.253261,0.681886,1.553219,1.626205,1.288349,0.724296,1.625452,0.53965,1.248064
9,1.271928,1.078471,0.780697,1.271309,1.598059,1.202063,0.707346,1.597275,1.706263,1.231188,0.748218,1.705417,0.370814,0.60839
10,1.237522,1.048698,0.792638,1.236944,1.520896,1.144972,0.734485,1.520204,1.493548,1.122011,0.790892,1.492881,0.385041,0.749114
11,1.217729,1.044136,0.794438,1.217162,1.589924,1.205434,0.705702,1.589229,1.534294,1.153753,0.778893,1.533629,0.45337,0.964209
12,1.211182,1.036282,0.797519,1.210631,1.552424,1.228584,0.69429,1.551727,1.651879,1.254182,0.738725,1.65113,0.444888,0.925028
13,1.187751,1.023435,0.802509,1.187208,1.558243,1.223642,0.696745,1.557572,1.762804,1.299176,0.719642,1.762039,0.401588,0.834707
14,1.16219,1.009892,0.807701,1.161672,1.466145,1.119235,0.746287,1.465501,1.462556,1.100396,0.798871,1.46192,0.318086,0.666004
15,1.182482,1.008818,0.80811,1.181958,1.483134,1.162536,0.726276,1.4825,1.453333,1.122249,0.790803,1.452725,0.485691,1.076673
16,1.125782,0.990667,0.814953,1.125278,1.538605,1.17089,0.722328,1.537965,1.492289,1.121926,0.790923,1.491678,0.390402,0.904297
17,1.127615,0.976598,0.820171,1.127121,1.509648,1.148037,0.733061,1.509025,1.49929,1.123402,0.790373,1.498676,0.340393,0.844765
18,1.122494,0.984584,0.817218,1.122001,1.493205,1.174363,0.720678,1.492592,1.447705,1.114932,0.793522,1.44712,0.366488,1.0635
19,1.097128,0.973551,0.821291,1.096647,1.403424,1.115948,0.747775,1.402874,1.404926,1.081902,0.805575,1.40439,0.378769,1.195114
20,1.077742,0.949736,0.829928,1.077265,1.53281,1.160592,0.727191,1.532171,1.48457,1.122035,0.790883,1.483961,0.372407,0.92119
21,1.062792,0.949606,0.829974,1.062323,1.511477,1.161628,0.726704,1.510872,1.482936,1.120921,0.791298,1.482347,0.329984,0.929699
22,1.050526,0.939683,0.833509,1.050083,1.450722,1.177495,0.719187,1.450137,1.475071,1.161137,0.776054,1.474481,0.327623,0.894792
23,1.055183,0.949083,0.830161,1.054741,1.405484,1.125445,0.743464,1.404947,1.429975,1.111972,0.794617,1.429436,0.362479,1.139491
24,1.031167,0.927817,0.837687,1.030732,1.429092,1.10019,0.754848,1.428505,1.432522,1.077232,0.80725,1.431942,0.233511,0.651041
25,1.023048,0.922026,0.839707,1.022616,1.389446,1.107078,0.751769,1.388891,1.450985,1.11983,0.791704,1.450406,0.30069,0.865891
26,1.027326,0.928817,0.837337,1.026885,1.452646,1.105732,0.752372,1.452066,1.457242,1.110741,0.795072,1.456651,0.25417,0.75809
27,0.998406,0.92292,0.839396,0.997988,1.420295,1.138057,0.737682,1.419746,1.488801,1.130942,0.78755,1.488233,0.276417,0.981942
28,0.991445,0.906331,0.845118,0.991017,1.416485,1.096159,0.756641,1.415939,1.420141,1.073674,0.808521,1.41959,0.264423,0.808898
29,0.966089,0.905326,0.845461,0.965673,1.435808,1.098899,0.755423,1.435249,1.447048,1.097569,0.799903,1.446486,0.241253,0.806835
30,0.965379,0.90033,0.847162,0.964975,1.404426,1.102637,0.753756,1.403867,1.421388,1.08119,0.80583,1.42083,0.245711,0.813922
31,0.946431,0.897838,0.848007,0.946029,1.370846,1.106119,0.752199,1.370348,1.399355,1.101969,0.798296,1.39885,0.276824,1.062611
32,0.992529,0.905603,0.845367,0.992119,1.428346,1.101793,0.754133,1.427777,1.476487,1.101149,0.798595,1.475899,0.242587,0.653461
33,0.921305,0.887731,0.85141,0.920898,1.504592,1.134939,0.739118,1.504006,1.466273,1.100927,0.798677,1.465701,0.235143,0.672702
34,0.909989,0.885549,0.852139,0.909605,1.417564,1.134998,0.73909,1.417034,1.433211,1.128968,0.788291,1.432681,0.253948,0.94552
35,0.915489,0.884851,0.852372,0.915109,1.459417,1.116165,0.747677,1.45889,1.469609,1.102855,0.797971,1.469075,0.273923,1.062792
36,0.922333,0.88989,0.850686,0.921943,1.490356,1.08943,0.75962,1.489763,1.525482,1.081442,0.80574,1.524875,0.189321,0.520971
37,0.907756,0.873074,0.856276,0.90736,1.534045,1.111518,0.749774,1.533448,1.509796,1.083053,0.805161,1.509203,0.204988,0.665051
38,0.891508,0.873821,0.85603,0.891114,1.468385,1.134235,0.739441,1.467814,1.487756,1.120143,0.791588,1.487185,0.216258,0.806742
39,0.876833,0.869795,0.857353,0.876447,1.426073,1.098937,0.755406,1.425512,1.433679,1.093026,0.801556,1.433112,0.204516,0.69236
40,0.860507,0.855574,0.86198,0.860115,1.457934,1.123147,0.74451,1.457384,1.454437,1.125691,0.789518,1.453873,0.220225,0.931585
41,0.705704,0.812954,0.875388,0.705349,1.560996,1.083988,0.762016,1.560404,1.566619,1.081766,0.805624,1.566018,0.136247,0.480115
42,0.629159,0.800818,0.879081,0.628823,1.60568,1.085144,0.761508,1.605101,1.614513,1.083416,0.80503,1.613922,0.127865,0.480452
43,0.60232,0.795359,0.880724,0.602002,1.598724,1.087259,0.760577,1.598171,1.607756,1.088868,0.803063,1.607188,0.131684,0.53975
44,0.578395,0.793308,0.881338,0.57809,1.611168,1.086951,0.760713,1.610635,1.619385,1.087683,0.803491,1.618838,0.125918,0.546939
45,0.555881,0.788903,0.882652,0.55559,1.633409,1.08801,0.760246,1.632892,1.649252,1.090101,0.802617,1.648719,0.121365,0.562999
46,0.542062,0.785898,0.883545,0.541782,1.695112,1.093094,0.758,1.694598,1.698031,1.091183,0.802225,1.697507,0.110995,0.52803
47,0.533778,0.785447,0.883678,0.533507,1.643808,1.087682,0.760391,1.643324,1.665916,1.093067,0.801541,1.665414,0.1186,0.6156
48,0.513769,0.783577,0.884231,0.513508,1.720415,1.093034,0.758027,1.719927,1.742736,1.097287,0.800006,1.742232,0.103178,0.531739
49,0.50893,0.782954,0.884416,0.508675,1.692991,1.094949,0.757178,1.692526,1.698799,1.098997,0.799382,1.69832,0.109501,0.626679
50,0.487092,0.780483,0.885144,0.486847,1.733136,1.09765,0.755979,1.732678,1.759285,1.101488,0.798472,1.75881,0.102648,0.605697
51,0.478795,0.779613,0.8854,0.478558,1.726343,1.093877,0.757653,1.725897,1.763675,1.107749,0.796174,1.763208,0.101426,0.621721
52,0.468902,0.778722,0.885662,0.46867,1.756784,1.097752,0.755934,1.756347,1.774103,1.10307,0.797892,1.77365,0.100554,0.65316
53,0.463851,0.778342,0.885773,0.463627,1.746672,1.095622,0.75688,1.746246,1.782861,1.103362,0.797785,1.782419,0.097918,0.666129
54,0.448737,0.777889,0.885906,0.448518,1.757748,1.101608,0.754216,1.757328,1.792928,1.104675,0.797303,1.792492,0.097702,0.701255
55,0.43919,0.777635,0.885981,0.438976,1.752317,1.099089,0.755339,1.751908,1.788206,1.104523,0.797359,1.78778,0.095685,0.722939
56,0.438684,0.77543,0.886626,0.438474,1.768599,1.102953,0.753615,1.768195,1.802489,1.10557,0.796975,1.80207,0.093176,0.727812
57,0.431524,0.775772,0.886526,0.431317,1.801123,1.101886,0.754092,1.800723,1.811531,1.100583,0.798803,1.811119,0.090061,0.739911
58,0.423781,0.77301,0.887333,0.423578,1.778982,1.104623,0.752869,1.778589,1.804144,1.106838,0.796509,1.803736,0.092139,0.806209
59,0.415073,0.773746,0.887118,0.414874,1.795299,1.098859,0.755441,1.794911,1.829896,1.102898,0.797955,1.829493,0.085123,0.737581
60,0.403001,0.771918,0.887651,0.402805,1.81629,1.106639,0.751966,1.815905,1.827004,1.10455,0.79735,1.826608,0.084712,0.761342
61,0.394184,0.772007,0.887625,0.393992,1.845202,1.10724,0.751696,1.844818,1.883559,1.110194,0.795273,1.883161,0.080186,0.738043
62,0.390419,0.770536,0.888053,0.390229,1.827476,1.112193,0.74947,1.8271,1.84003,1.106021,0.79681,1.839643,0.08447,0.85345
63,0.3883,0.769528,0.888346,0.388113,1.821372,1.105437,0.752504,1.821002,1.836222,1.104837,0.797244,1.835841,0.078476,0.81054
64,0.379808,0.771726,0.887707,0.379624,1.877607,1.10965,0.750614,1.877236,1.900656,1.10913,0.795666,1.900272,0.07654,0.804564
65,0.368758,0.768766,0.888566,0.368575,1.86631,1.102516,0.75381,1.865946,1.911947,1.108683,0.79583,1.911566,0.074206,0.822016
66,0.368592,0.76897,0.888507,0.368411,1.906447,1.109289,0.750776,1.906083,1.900497,1.101663,0.798408,1.900124,0.070542,0.791165
67,0.351968,0.766516,0.889218,0.351791,1.897318,1.103983,0.753155,1.896959,1.936279,1.105632,0.796952,1.935905,0.068925,0.795192
68,0.353813,0.767295,0.888992,0.353637,1.952343,1.114028,0.748642,1.951983,1.949742,1.105198,0.797112,1.949373,0.065875,0.770503
69,0.34921,0.767968,0.888798,0.349035,1.890069,1.108394,0.751178,1.889719,1.901372,1.104224,0.797469,1.901011,0.069324,0.92087
70,0.333105,0.766513,0.889219,0.332933,1.931289,1.110147,0.750391,1.930937,1.956651,1.106421,0.796662,1.956288,0.063344,0.807577
71,0.332937,0.765245,0.889585,0.332766,1.871242,1.115136,0.748142,1.870899,1.876159,1.108442,0.795919,1.875807,0.069909,1.004007
72,0.333951,0.765864,0.889406,0.333782,1.907535,1.117088,0.74726,1.907191,1.920276,1.109947,0.795364,1.919922,0.067146,0.961555
73,0.318457,0.763451,0.890102,0.318291,2.005472,1.113523,0.74887,2.005125,2.017084,1.109265,0.795616,2.016725,0.058425,0.80445
74,0.323582,0.76404,0.889932,0.323416,1.964338,1.114493,0.748432,1.963996,1.995016,1.116588,0.792908,1.994661,0.061718,0.90607
75,0.322323,0.763986,0.889948,0.322159,1.993928,1.116678,0.747445,1.993587,1.99995,1.111515,0.794786,1.9996,0.058407,0.852124
76,0.315493,0.76515,0.889612,0.31533,1.974265,1.11469,0.748343,1.973929,1.998299,1.111641,0.794739,1.997952,0.059227,0.887894
77,0.305439,0.763028,0.890224,0.305278,1.990048,1.114766,0.748309,1.989712,2.035049,1.116626,0.792894,2.0347,0.058103,0.910179
78,0.3043,0.7624,0.890404,0.304141,1.971832,1.110256,0.750342,1.971502,1.994786,1.109854,0.795398,1.994445,0.058007,0.970132
79,0.30126,0.761511,0.89066,0.3011,1.979386,1.115479,0.747987,1.979056,1.998464,1.110489,0.795164,1.998123,0.057962,0.96739
80,0.293991,0.761831,0.890568,0.293833,2.007007,1.11971,0.746072,2.006677,2.002708,1.108745,0.795807,2.00237,0.057069,1.011988
81,0.248596,0.758217,0.891604,0.248443,2.060457,1.116509,0.747521,2.060126,2.070125,1.108545,0.795881,2.069783,0.052723,0.884546
82,0.216624,0.757738,0.891741,0.216471,2.086794,1.11518,0.748122,2.086462,2.105897,1.109857,0.795398,2.105553,0.051334,0.839019
83,0.207796,0.757644,0.891767,0.207643,2.121899,1.114341,0.748501,2.121566,2.14198,1.109063,0.79569,2.141636,0.049748,0.793438
84,0.20568,0.757177,0.891901,0.205526,2.126051,1.113693,0.748793,2.125719,2.156436,1.109942,0.795366,2.156091,0.049877,0.799855
85,0.193218,0.757032,0.891942,0.193066,2.135953,1.113641,0.748817,2.135621,2.162556,1.109326,0.795593,2.162212,0.049684,0.791834
86,0.195048,0.757535,0.891798,0.194895,2.142077,1.114426,0.748463,2.141745,2.165819,1.10921,0.795636,2.165477,0.049976,0.80268
87,0.181993,0.757182,0.891899,0.181842,2.144985,1.115216,0.748106,2.144655,2.164427,1.109828,0.795408,2.164087,0.050337,0.811643
88,0.18315,0.756987,0.891955,0.182998,2.149377,1.114649,0.748362,2.149048,2.175176,1.110012,0.79534,2.174836,0.050439,0.82048
89,0.176297,0.756845,0.891995,0.176147,2.148772,1.114288,0.748525,2.148444,2.173326,1.109167,0.795652,2.172987,0.050795,0.836088
90,0.176881,0.756748,0.892023,0.17673,2.151543,1.114315,0.748513,2.151216,2.17903,1.110352,0.795215,2.178692,0.051074,0.845005
91,0.168266,0.756584,0.89207,0.168117,2.167373,1.115436,0.748007,2.167047,2.184894,1.109028,0.795703,2.184558,0.050837,0.84258
92,0.165234,0.756552,0.892079,0.165085,2.166514,1.115095,0.748161,2.166189,2.185958,1.108982,0.79572,2.185623,0.051203,0.8566
93,0.178746,0.756647,0.892052,0.178596,2.167024,1.115124,0.748147,2.1667,2.19121,1.110755,0.795066,2.190875,0.051513,0.868898
94,0.167067,0.756635,0.892056,0.166919,2.162986,1.115269,0.748082,2.162664,2.192575,1.111159,0.794917,2.192242,0.052105,0.890352
95,0.157897,0.756473,0.892102,0.15775,2.165089,1.115765,0.747858,2.164767,2.188516,1.110403,0.795196,2.188184,0.052374,0.900806
96,0.16357,0.75657,0.892074,0.163423,2.174879,1.116255,0.747637,2.174558,2.203932,1.112362,0.794473,2.2036,0.052308,0.901306
97,0.155291,0.756386,0.892127,0.155146,2.177364,1.115931,0.747783,2.177044,2.198617,1.110813,0.795045,2.198287,0.052261,0.908756
98,0.15906,0.756289,0.892154,0.158915,2.176928,1.116375,0.747582,2.176608,2.199251,1.111639,0.79474,2.198921,0.052789,0.924134
99,0.165789,0.756474,0.892101,0.165643,2.172936,1.116291,0.74762,2.172619,2.194383,1.11118,0.79491,2.194056,0.053363,0.946835
100,0.161692,0.756305,0.89215,0.161545,2.175786,1.116182,0.747669,2.17547,2.199532,1.11193,0.794633,2.199204,0.053502,0.955056
