epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,2.036579,1.955695,0.30468,2.03535,1.995805,1.735751,0.405497,1.994335,1.995427,1.750994,0.436303,1.99396,1.09127,1.935629
2,1.778114,1.558933,0.558188,1.776955,1.745137,1.426612,0.598402,1.743797,1.786939,1.484191,0.594999,1.785505,0.921687,0.847154
3,1.568741,1.305373,0.690221,1.567609,1.632928,1.2374,0.697866,1.631606,1.769136,1.390267,0.644637,1.767673,0.760129,0.566615
4,1.481086,1.236755,0.721933,1.480069,1.643431,1.266553,0.683462,1.642304,1.669743,1.327646,0.675929,1.668553,1.090033,0.998888
5,1.429207,1.193762,0.740929,1.428165,1.621572,1.217043,0.707725,1.620272,1.701633,1.30438,0.687187,1.700232,0.611464,0.463628
6,1.392735,1.145202,0.761578,1.391757,1.70111,1.325791,0.65316,1.699626,1.739098,1.385898,0.646867,1.737491,0.814717,0.653744
7,1.368064,1.124049,0.770304,1.367072,1.587313,1.200285,0.715719,1.586139,1.626114,1.267438,0.704655,1.62485,0.739658,0.610372
8,1.370128,1.129855,0.767926,1.369164,1.789408,1.378135,0.625232,1.788094,1.800173,1.430948,0.623536,1.798804,0.754057,0.689423
9,1.333947,1.093585,0.782586,1.332991,1.710221,1.24472,0.694281,1.708822,1.744994,1.325318,0.677064,1.743488,0.633777,0.425852
10,1.320626,1.07687,0.789181,1.319672,1.559287,1.168556,0.73055,1.557821,1.666403,1.304757,0.687006,1.664811,0.638195,0.467862
11,1.250837,1.034471,0.805455,1.249918,1.545309,1.165747,0.731844,1.544126,1.677182,1.306771,0.68604,1.675793,0.653797,0.556055
12,1.266923,1.02982,0.807201,1.266018,1.556925,1.186392,0.722262,1.555721,1.594405,1.246903,0.714148,1.593148,0.607798,0.47045
13,1.183031,0.98687,0.822948,1.182183,1.601792,1.282638,0.675371,1.600507,1.656014,1.359521,0.660181,1.654627,0.886917,0.724246
14,1.21401,1.01131,0.81407,1.213124,1.601633,1.152309,0.73799,1.600196,1.757631,1.296289,0.691056,1.756051,0.47938,0.29189
15,1.20936,1.000344,0.81808,1.208451,1.637026,1.167596,0.730992,1.635802,1.674001,1.261687,0.707329,1.672666,0.532656,0.383826
16,1.170647,0.969712,0.829051,1.169741,1.594967,1.184715,0.723046,1.593573,1.58918,1.245419,0.714828,1.58771,0.597216,0.390444
17,1.097967,0.916349,0.847348,1.097098,1.564725,1.189456,0.720825,1.563398,1.593567,1.265194,0.7057,1.592196,0.650648,0.503748
18,1.091941,0.926541,0.843933,1.091069,1.700134,1.215027,0.708693,1.698605,1.820376,1.363568,0.658155,1.8186,0.485628,0.32894
19,1.112755,0.938284,0.839952,1.11184,1.667805,1.237851,0.697646,1.666392,1.712779,1.284082,0.696847,1.711276,0.477225,0.334688
20,1.072489,0.917523,0.846956,1.071575,1.575596,1.148441,0.739746,1.57422,1.566568,1.19045,0.739445,1.565134,0.511656,0.33059
21,1.039881,0.885332,0.857507,1.039003,1.738394,1.250411,0.691479,1.736922,1.704996,1.286616,0.695649,1.70348,0.426174,0.263554
22,1.02764,0.879339,0.859429,1.026757,1.927712,1.250742,0.691315,1.926082,1.90635,1.280322,0.69862,1.904691,0.332858,0.172086
23,1.011569,0.882025,0.858569,1.010707,1.594468,1.130581,0.747778,1.593174,1.708725,1.224869,0.724161,1.707306,0.470193,0.271722
24,1.0026,0.8641,0.864259,1.001787,1.575072,1.1279,0.748973,1.573719,1.638887,1.225882,0.723705,1.637408,0.474294,0.291076
25,0.967633,0.840393,0.871605,0.966773,1.591007,1.150118,0.738986,1.589552,1.645509,1.235451,0.719375,1.643944,0.555003,0.360673
26,0.96796,0.839607,0.871845,0.967105,1.609815,1.175452,0.72736,1.608307,1.608956,1.217549,0.727448,1.607452,0.518615,0.307001
27,0.922224,0.801229,0.883293,0.92136,1.641632,1.149747,0.739154,1.640042,1.743111,1.225238,0.723995,1.741383,0.404037,0.210657
28,0.931483,0.806125,0.881863,0.930605,1.784765,1.215369,0.708529,1.783152,1.674119,1.208142,0.731643,1.672555,0.404342,0.223117
29,0.910045,0.814368,0.879434,0.909186,1.719015,1.136717,0.745033,1.717416,1.698466,1.189686,0.73978,1.696815,0.392698,0.177794
30,0.906338,0.796475,0.884674,0.905486,1.86334,1.185206,0.722817,1.861651,1.87872,1.200077,0.735214,1.877007,0.279616,0.140055
31,0.884962,0.78338,0.888435,0.884121,1.645862,1.146334,0.740701,1.644331,1.661429,1.177548,0.745063,1.659844,0.431904,0.245456
32,0.867053,0.766932,0.893071,0.866206,1.712743,1.161295,0.733888,1.71114,1.68653,1.164554,0.750658,1.684878,0.363633,0.161904
33,0.861982,0.786084,0.887664,0.861154,1.740017,1.205833,0.713085,1.738475,1.709694,1.241778,0.716493,1.708131,0.432054,0.228387
34,0.787302,0.741365,0.900081,0.78649,1.903054,1.246719,0.693298,1.901416,1.749671,1.224937,0.72413,1.748094,0.331371,0.187743
35,0.804447,0.746372,0.898727,0.803617,1.793505,1.21549,0.708471,1.791794,1.728488,1.250168,0.712649,1.726789,0.442222,0.230113
36,0.814064,0.745954,0.898841,0.813228,1.702638,1.125351,0.750106,1.700946,1.736512,1.197861,0.736192,1.734718,0.353557,0.159265
37,0.79041,0.735346,0.901697,0.789583,1.684953,1.116256,0.754129,1.683375,1.733525,1.202851,0.733989,1.731859,0.346936,0.190739
38,0.763994,0.721402,0.90539,0.763164,1.848495,1.219564,0.706513,1.846851,1.814312,1.251936,0.711836,1.812664,0.375676,0.190174
39,0.75742,0.727945,0.903666,0.756603,1.979316,1.199369,0.716152,1.977453,1.941479,1.270757,0.703106,1.939526,0.317366,0.170779
40,0.756071,0.730616,0.902958,0.755246,1.989681,1.19408,0.718651,1.987993,1.906486,1.219691,0.726488,1.904764,0.304773,0.197049
41,0.493005,0.626698,0.9286,0.492317,2.224921,1.136239,0.745247,2.22311,2.181305,1.184686,0.741962,2.179435,0.201623,0.10015
42,0.303367,0.572573,0.9404,0.302747,2.400874,1.137446,0.744706,2.399011,2.351646,1.178049,0.744846,2.349742,0.177566,0.087698
43,0.21706,0.55429,0.944146,0.216475,2.457575,1.134042,0.746232,2.45573,2.381795,1.166095,0.749998,2.379929,0.164172,0.079037
44,0.142658,0.541418,0.94671,0.142108,2.714796,1.127426,0.749184,2.71294,2.648257,1.162757,0.751427,2.646376,0.131324,0.062153
45,0.080796,0.528702,0.949184,0.080266,2.898935,1.148653,0.73965,2.897034,2.832851,1.1797,0.74413,2.830938,0.116041,0.053131
46,0.013948,0.518538,0.951119,0.013445,2.812687,1.145394,0.741125,2.810792,2.705842,1.171508,0.747671,2.703959,0.125733,0.055541
47,-0.033511,0.511514,0.952434,-0.033998,2.826017,1.144611,0.741479,2.824134,2.746705,1.184111,0.742213,2.744816,0.12949,0.057165
48,-0.088308,0.505075,0.953624,-0.088779,3.016236,1.154614,0.736941,3.014329,2.889499,1.178914,0.744471,2.8876,0.115432,0.052534
49,-0.130347,0.499856,0.954577,-0.130807,2.957225,1.130028,0.748025,2.955347,2.888337,1.176222,0.745637,2.88643,0.117904,0.051172
50,-0.168085,0.49418,0.955603,-0.168533,3.163947,1.138085,0.744419,3.162003,3.079788,1.180433,0.743812,3.077826,0.105078,0.043057
51,-0.212407,0.492981,0.955818,-0.212844,3.221388,1.147212,0.740303,3.21941,3.081729,1.184174,0.742186,3.079751,0.111909,0.045646
52,-0.239367,0.486421,0.956986,-0.239792,3.2653,1.142469,0.742446,3.26334,3.130844,1.180814,0.743647,3.128879,0.104814,0.043288
53,-0.276904,0.485232,0.957196,-0.277323,3.220465,1.134578,0.745991,3.218522,3.108054,1.170564,0.748078,3.106104,0.113505,0.045741
54,-0.305979,0.479786,0.958152,-0.30639,3.230259,1.14115,0.74304,3.228315,3.088977,1.177405,0.745124,3.087037,0.122793,0.0504
55,-0.325373,0.478189,0.95843,-0.325778,3.348153,1.149791,0.739134,3.346168,3.215945,1.184898,0.74187,3.213966,0.114114,0.04862
56,-0.362444,0.475966,0.958815,-0.36284,3.310342,1.144755,0.741414,3.308388,3.238567,1.184279,0.74214,3.236594,0.119445,0.050706
